Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
cell_07_R1	(1, 36.458)	(2, 35.578)	(3, 35.48)	(4, 35.442)	(5, 35.51)	(6, 35.446)	(7, 35.45)	(8, 35.472)	(9, 35.314)	(10, 35.509)	(12, 35.507000000000005)	(14, 34.533)	(16, 34.514)	(18, 34.400999999999996)	(20, 34.370000000000005)	(22, 34.464)	(24, 34.479)	(26, 33.969)	(28, 33.534)	(30, 33.537)	(32, 33.489999999999995)	(34, 33.487)	(36, 33.498999999999995)	(38, 32.862)	(40, 32.527)	(42, 32.644999999999996)	(44, 32.498000000000005)	(46, 32.516000000000005)	(48, 32.652)	(50, 32.475)	(52, 31.559)	(54, 31.384)	(56, 31.539)	(58, 31.45)	(60, 31.451)	(62, 31.451)	(64, 30.369)	(66, 30.573999999999998)	(68, 30.447)	(70, 30.666)	(72, 30.598)	(74, 30.522)	(76, 29.987000000000002)	(78, 29.471)	(80, 29.549)	(82, 29.613)	(84, 29.648)	(86, 29.503999999999998)	(88, 29.044)	(90, 28.53)	(92, 28.347)	(94, 28.631)	(96, 28.429000000000002)	(98, 28.421)	(100, 28.518)
cell_07_R2	(1, 36.516)	(2, 35.42)	(3, 35.502)	(4, 35.478)	(5, 35.414)	(6, 35.57)	(7, 35.46)	(8, 35.648)	(9, 35.636)	(10, 35.516000000000005)	(12, 35.516)	(14, 34.5)	(16, 34.532)	(18, 34.516)	(20, 34.468)	(22, 34.403)	(24, 34.474999999999994)	(26, 33.891)	(28, 33.644)	(30, 33.456999999999994)	(32, 33.587)	(34, 33.582)	(36, 33.388000000000005)	(38, 33.034000000000006)	(40, 32.564)	(42, 32.531)	(44, 32.416)	(46, 32.435)	(48, 32.343999999999994)	(50, 32.629999999999995)	(52, 31.472)	(54, 31.467)	(56, 31.416)	(58, 31.406)	(60, 31.468)	(62, 31.476)	(64, 30.624)	(66, 30.441)	(68, 30.339)	(70, 30.447)	(72, 30.387)	(74, 30.531)	(76, 30.099)	(78, 29.54)	(80, 29.553)	(82, 29.55)	(84, 29.438000000000002)	(86, 29.46)	(88, 28.955)	(90, 28.424)	(92, 28.539)	(94, 28.424999999999997)	(96, 28.45)	(98, 28.386)	(100, 28.514)
cell_07_val_R1	(1, 36.458)	(2, 35.578)	(3, 35.48)	(4, 35.442)	(5, 35.51)	(6, 35.446)	(7, 35.45)	(8, 35.472)	(9, 35.314)	(10, 35.509)	(12, 35.507000000000005)	(14, 34.533)	(16, 34.514)	(18, 34.400999999999996)	(20, 34.370000000000005)	(22, 34.464)	(24, 34.479)	(26, 33.969)	(28, 33.534)	(30, 33.537)	(32, 33.489999999999995)	(34, 33.487)	(36, 33.498999999999995)	(38, 32.862)	(40, 32.527)	(42, 32.644999999999996)	(44, 32.498000000000005)	(46, 32.516000000000005)	(48, 32.652)	(50, 32.475)	(52, 31.559)	(54, 31.384)	(56, 31.539)	(58, 31.45)	(60, 31.451)	(62, 31.451)	(64, 30.369)	(66, 30.573999999999998)	(68, 30.447)	(70, 30.666)	(72, 30.598)	(74, 30.522)	(76, 29.987000000000002)	(78, 29.471)	(80, 29.549)	(82, 29.613)	(84, 29.648)	(86, 29.503999999999998)	(88, 29.044)	(90, 28.53)	(92, 28.347)	(94, 28.631)	(96, 28.429000000000002)	(98, 28.421)	(100, 28.518)
cell_07_val_R2	(1, 36.516)	(2, 35.42)	(3, 35.502)	(4, 35.478)	(5, 35.414)	(6, 35.57)	(7, 35.46)	(8, 35.648)	(9, 35.636)	(10, 35.516000000000005)	(12, 35.516)	(14, 34.5)	(16, 34.532)	(18, 34.516)	(20, 34.468)	(22, 34.403)	(24, 34.474999999999994)	(26, 33.891)	(28, 33.644)	(30, 33.456999999999994)	(32, 33.587)	(34, 33.582)	(36, 33.388000000000005)	(38, 33.034000000000006)	(40, 32.564)	(42, 32.531)	(44, 32.416)	(46, 32.435)	(48, 32.343999999999994)	(50, 32.629999999999995)	(52, 31.472)	(54, 31.467)	(56, 31.416)	(58, 31.406)	(60, 31.468)	(62, 31.476)	(64, 30.624)	(66, 30.441)	(68, 30.339)	(70, 30.447)	(72, 30.387)	(74, 30.531)	(76, 30.099)	(78, 29.54)	(80, 29.553)	(82, 29.55)	(84, 29.438000000000002)	(86, 29.46)	(88, 28.955)	(90, 28.426394789579156)	(92, 28.541082164328657)	(94, 28.42570281124498)	(96, 28.4476861167002)	(98, 28.38933601609658)	(100, 28.52112676056338)
cell_08_R1	(1, 36.492)	(2, 35.544)	(3, 35.59)	(4, 35.434)	(5, 35.514)	(6, 35.478)	(7, 35.486)	(8, 35.612)	(9, 35.512)	(10, 35.59)	(12, 35.432)	(14, 34.563)	(16, 34.584999999999994)	(18, 34.548)	(20, 34.572)	(22, 34.614999999999995)	(24, 34.406000000000006)	(26, 33.906000000000006)	(28, 33.625)	(30, 33.533)	(32, 33.595)	(34, 33.434)	(36, 33.446)	(38, 33.093)	(40, 32.524)	(42, 32.57)	(44, 32.566)	(46, 32.548)	(48, 32.507999999999996)	(50, 32.57)	(52, 31.514)	(54, 31.457)	(56, 31.62)	(58, 31.57)	(60, 31.582)	(62, 31.439999999999998)	(64, 30.428)	(66, 30.512)	(68, 30.500999999999998)	(70, 30.503999999999998)	(72, 30.521)	(74, 30.503)	(76, 29.988999999999997)	(78, 29.562)	(80, 29.634)	(82, 29.463)	(84, 29.402)	(86, 29.517)	(88, 29.024)	(90, 28.445999999999998)	(92, 28.505)	(94, 28.523)	(96, 28.456)	(98, 28.447)	(100, 28.436)
cell_08_R2	(1, 36.462)	(2, 35.568)	(3, 35.57)	(4, 35.372)	(5, 35.46)	(6, 35.53)	(7, 35.476)	(8, 35.454)	(9, 35.688)	(10, 35.399)	(12, 35.513999999999996)	(14, 34.541)	(16, 34.564)	(18, 34.372)	(20, 34.422)	(22, 34.515)	(24, 34.414)	(26, 33.88)	(28, 33.448)	(30, 33.45)	(32, 33.4)	(34, 33.499)	(36, 33.545)	(38, 33.001000000000005)	(40, 32.457)	(42, 32.507)	(44, 32.628)	(46, 32.494)	(48, 32.422)	(50, 32.497)	(52, 31.506)	(54, 31.467)	(56, 31.524)	(58, 31.315)	(60, 31.462)	(62, 31.464)	(64, 30.469)	(66, 30.455)	(68, 30.479)	(70, 30.627)	(72, 30.554000000000002)	(74, 30.532)	(76, 29.926000000000002)	(78, 29.567999999999998)	(80, 29.562)	(82, 29.459000000000003)	(84, 29.616)	(86, 29.467)	(88, 29.058)	(90, 28.541)	(92, 28.531)	(94, 28.407)	(96, 28.375)	(98, 28.511)	(100, 28.394)
cell_08_val_R1	(1, 36.492)	(2, 35.544)	(3, 35.59)	(4, 35.434)	(5, 35.514)	(6, 35.478)	(7, 35.486)	(8, 35.612)	(9, 35.512)	(10, 35.59)	(12, 35.432)	(14, 34.563)	(16, 34.584999999999994)	(18, 34.548)	(20, 34.572)	(22, 34.614999999999995)	(24, 34.406000000000006)	(26, 33.906000000000006)	(28, 33.625)	(30, 33.533)	(32, 33.595)	(34, 33.434)	(36, 33.446)	(38, 33.093)	(40, 32.524)	(42, 32.57)	(44, 32.566)	(46, 32.548)	(48, 32.507999999999996)	(50, 32.57)	(52, 31.514)	(54, 31.457)	(56, 31.62)	(58, 31.57)	(60, 31.582)	(62, 31.439999999999998)	(64, 30.428)	(66, 30.512)	(68, 30.500999999999998)	(70, 30.503999999999998)	(72, 30.521)	(74, 30.503)	(76, 29.988999999999997)	(78, 29.562)	(80, 29.634)	(82, 29.463)	(84, 29.402)	(86, 29.517)	(88, 29.024)	(90, 28.445999999999998)	(92, 28.505)	(94, 28.523)	(96, 28.456)	(98, 28.447)	(100, 28.436)
cell_08_val_R2	(1, 36.462)	(2, 35.568)	(3, 35.57)	(4, 35.372)	(5, 35.46)	(6, 35.53)	(7, 35.476)	(8, 35.454)	(9, 35.688)	(10, 35.399)	(12, 35.513999999999996)	(14, 34.541)	(16, 34.564)	(18, 34.372)	(20, 34.422)	(22, 34.515)	(24, 34.414)	(26, 33.88)	(28, 33.448)	(30, 33.45)	(32, 33.4)	(34, 33.499)	(36, 33.545)	(38, 33.001000000000005)	(40, 32.457)	(42, 32.507)	(44, 32.628)	(46, 32.494)	(48, 32.422)	(50, 32.497)	(52, 31.506)	(54, 31.467)	(56, 31.524)	(58, 31.315)	(60, 31.462)	(62, 31.464)	(64, 30.469)	(66, 30.455)	(68, 30.479)	(70, 30.627)	(72, 30.554000000000002)	(74, 30.532)	(76, 29.926000000000002)	(78, 29.567999999999998)	(80, 29.562)	(82, 29.459000000000003)	(84, 29.616)	(86, 29.467)	(88, 29.058)	(90, 28.541)	(92, 28.531)	(94, 28.407)	(96, 28.373747494989978)	(98, 28.511022044088175)	(100, 28.394789579158317)
scRNA_sample_01_R1	(1, 36.14724823018954)	(2, 36.12413793103448)	(3, 36.13583009819593)	(4, 36.14368577300753)	(5, 36.11532313313542)	(6, 36.14167618177666)	(7, 36.128705183831926)	(8, 36.11048184517013)	(9, 36.12144325188399)	(10, 36.117058689198444)	(11, 36.13354647179722)	(12, 36.10984242977849)	(13, 36.13971226307376)	(14, 36.13080612011875)	(15, 36.104316053893584)	(16, 36.12783740580041)	(17, 36.14149349166476)	(18, 36.10673669787623)	(19, 36.1112582781457)	(20, 36.173190226079015)	(21, 36.126786937657)	(22, 36.15131308517927)	(23, 36.11240009134506)	(24, 36.10975108472254)	(25, 36.127654715688514)	(26, 36.13423155971683)	(27, 36.11399862982416)	(28, 36.12719799040877)																											
scRNA_sample_01_R2	(1, 33.07887645581183)	(2, 33.190271751541445)	(3, 33.1266042475451)	(4, 33.18004110527518)	(5, 33.17108928979219)	(6, 33.134825302580495)	(7, 33.1837405800411)	(8, 33.16405572048413)	(9, 33.10796985613154)	(10, 33.17234528431149)	(12, 33.15713633249601)	(14, 33.14480474994291)	(16, 33.163461977620464)	(18, 33.12059831011646)	(20, 33.126855446448964)	(22, 32.830463576158934)	(24, 32.402055263758854)	(26, 31.99837862525691)	(28, 31.59442795158712)	(30, 31.12137474309203)	(32, 30.753688056633933)	(34, 30.30260333409454)	(36, 29.830417903630966)	(38, 29.44781913678922)	(40, 28.99938342087235)	(42, 28.582142041562)	(44, 28.136652203699477)	(46, 27.693537337291616)	(48, 27.241927380680522)	(50, 26.901826901118977)	(52, 26.40408769125371)	(54, 25.99885818680064)	(56, 25.533843343229044)	(58, 25.10762731217173)	(60, 24.682621603105733)	(62, 24.252888787394383)	(64, 23.822927609043163)	(66, 23.34832153459694)	(68, 22.94014615208952)	(70, 22.516031057319022)	(72, 22.071660196391868)	(74, 21.690431605389357)	(76, 21.251792646722997)	(78, 20.801941082438915)	(80, 20.434026424357903)	(82, 20.02965372106371)	(84, 19.639037688922897)	(86, 19.179476755308976)	(88, 18.779558063898985)	(90, 18.35266183521832)					
scRNA_sample_01_val_R1	(1, 36.14909124457976)	(2, 36.12399667866039)	(3, 36.13451425408248)	(4, 36.14507795922133)	(5, 36.116200756527356)	(6, 36.141756619614355)	(7, 36.128102223452345)	(8, 36.1126026386198)	(9, 36.12210536027309)	(10, 36.11693883199557)	(11, 36.13248454654489)	(12, 36.107067072608174)	(13, 36.14046498754497)	(14, 36.132899713995755)	(15, 36.10559092167174)	(16, 36.127410277700896)	(17, 36.142494695082576)	(18, 36.10909678014577)	(19, 36.112418119752746)	(20, 36.17432419964941)	(21, 36.12653381308239)	(22, 36.15038287664914)	(23, 36.11315619522096)	(24, 36.11089583909955)	(25, 36.12773318571824)	(26, 36.13802011255651)	(27, 36.11661592397823)	(28, 36.13123904419227)																											
scRNA_sample_01_val_R2	(1, 33.08298736045761)	(2, 33.19208414060338)	(3, 33.12791770458529)	(4, 33.180413322262204)	(5, 33.17340160531414)	(6, 33.13802011255651)	(7, 33.1838269213027)	(8, 33.16652827751638)	(9, 33.11015776363133)	(10, 33.17404742134883)	(12, 33.15769443675616)	(14, 33.14505489436294)	(16, 33.16071593320417)	(18, 33.11903773410831)	(20, 33.12867884491189)	(22, 32.83153427437955)	(24, 32.40326598394686)	(26, 31.99755512501153)	(28, 31.598140972414427)	(30, 31.12397361380201)	(32, 30.75244487498847)	(34, 30.306209059876373)	(36, 29.831165236645447)	(38, 29.44865762524218)	(40, 28.987380733963647)	(42, 28.56390977443609)	(44, 28.116513069588216)	(46, 27.68652486434864)	(48, 27.24906127531151)	(50, 26.890662607689897)	(52, 26.410891210212654)	(54, 26.015058580815676)	(56, 25.584404963518338)	(58, 25.144336215261273)	(60, 24.702063229657703)	(62, 24.294113459027947)	(64, 23.89483637430874)	(66, 23.440492600709014)	(68, 23.066343337091517)	(70, 22.67933456529038)	(72, 22.25824131026549)	(74, 21.917223253789444)	(76, 21.518958874491414)	(78, 21.153314146266283)	(80, 20.818201645663862)	(82, 20.516435562355177)	(84, 20.371742695075042)	(86, 20.325682212822336)	(88, 21.35199260476582)	(90, 20.94453574363188)					
